image_name,Brightness_Score,Brightness_Score_to_MOS_scale
10004473376.jpg,0.230837565182866,2.8480686407143025
10007357496.jpg,0.2296844125264259,2.8386235562906763
10007903636.jpg,0.2444491062698961,2.9595561822680314
10009096245.jpg,0.0834980822846408,1.6412606373374512
100117038.jpg,0.3884240269226849,4.138806191237797
10012398043.jpg,0.4149348191766631,4.355947147881858
10013822223.jpg,0.3892456705150859,4.1455359967436145
10014002683.jpg,0.4101492249074053,4.3167499595148815
10017119924.jpg,0.2950196631098802,3.373762554716566
10020766793.jpg,0.1275500578498905,2.0020755094340688
10020891105.jpg,0.1759480581809687,2.398487204372114
10022757465.jpg,0.311482740357393,3.5086060670711836
10022844623.jpg,0.3049004104364141,3.4546924230617817
10027545463.jpg,0.201795516621995,2.610195017512246
10027582235.jpg,0.2920208268117898,3.3492000981763033
10029841663.jpg,0.2514921993888966,3.0172437822062594
10031298826.jpg,0.1775751578753888,2.41181422911045
10031913154.jpg,0.3033103008193051,3.441668371569086
10039534103.jpg,0.3594759390585386,3.9017021684074784
10041870415.jpg,0.1698447022612202,2.3484966748376936
10043785683.jpg,0.194457416559029,2.5500911152087165
10047832035.jpg,0.1972028367386136,2.572577925805463
10048365153.jpg,0.2618105580773879,3.101757977600754
10050349236.jpg,0.1828415552483281,2.454949513513586
10058760545.jpg,0.1588791584323595,2.258681604269069
10059344614.jpg,0.3242108915952391,3.6128580603582368
10061596254.jpg,0.3045986147125328,3.4522205160902035
10067457634.jpg,0.2264095225453365,2.8118000371523113
10068507976.jpg,0.104905299648258,1.816599933609356
10068778516.jpg,0.1831725910365439,2.4576609159887726
10069534975.jpg,0.253431095418638,3.033124625551039
10071864114.jpg,0.2456561253523843,2.969442468417016
10075168775.jpg,0.3718032283466271,4.002670836684148
10077468576.jpg,0.2799895790720653,3.250656206360567
10077880165.jpg,0.2279910501300986,2.824753796112973
10079711433.jpg,0.1531521423494823,2.211773547390261
10082923485.jpg,0.0952378995393682,1.7374175203568727
10086300493.jpg,0.286864439351013,3.3069658678547817
100882570.jpg,0.2707781789142913,3.1752087348882587
10089027076.jpg,0.0523691267900227,1.386293863403433
10089177336.jpg,0.3069131079026179,3.47117774907768
10091520555.jpg,0.1556265490342608,2.2320405778702206
10093057603.jpg,0.1487086971203275,2.17537878639592
10094235786.jpg,0.1975936098695794,2.5757786167043166
10110458216.jpg,0.3531907490376139,3.850222297087205
10111411235.jpg,0.4393951945091183,4.556293831175154
10113730664.jpg,0.2413672778239587,2.93431396503994
10115071674.jpg,0.1154122527303459,1.9026588420645145
10118773964.jpg,0.4108926781739578,4.322839334437093
10121813934.jpg,0.1551788976411671,2.2283740163126415
10125013364.jpg,0.2918693849892013,3.347959689292338
10126177964.jpg,0.0979651178906704,1.7597552459180594
10126857344.jpg,0.1933680360756731,2.5411683671429817
10130566006.jpg,0.2159164227776709,2.72585459652254
10131980434.jpg,0.2772782954065515,3.228448996435532
10133867305.jpg,0.2025448785453336,2.616332788249066
10134737015.jpg,0.3926283529891337,4.17324240783088
10140071304.jpg,0.4493101599496131,4.637503968549256
1014369849.jpg,0.3549948153768371,3.8649987959181478
10147970884.jpg,0.1965822876221084,2.5674952173178527
101484668.jpg,0.1495239308809731,2.182056091132015
10153847086.jpg,0.246417208650056,2.975676244977106
10154367094.jpg,0.387569577886778,4.131807687410262
10154991453.jpg,0.2100879920204864,2.6781158862560144
10155925686.jpg,0.2308977610364965,2.8485616846459254
101601008.jpg,0.2293674532438716,2.8360274497250293
10164654253.jpg,0.2166103941764039,2.7315386821568306
10164842933.jpg,0.1896746909621771,2.5109174231697455
10169304416.jpg,0.2460569814365104,2.9727257453839906
10173544123.jpg,0.3927906508215558,4.174571734629408
1017647143.jpg,0.3597550234236437,3.9039880543003918
10177270623.jpg,0.1075298460385268,1.8380967077713641
10177793964.jpg,0.2288247923372065,2.8315826972907105
10178112894.jpg,0.2362454248637977,2.8923625951636702
10178183416.jpg,0.2165463533474348,2.731014145329209
10178914656.jpg,0.2300743986761532,2.841817801291673
10183769356.jpg,0.1553414915722175,2.229705768355152
10186643874.jpg,0.4045252742654158,4.270686076896007
10186680555.jpg,0.2008308527450956,2.602293781100178
10186832194.jpg,0.2527807665433674,3.027798001104788
10187102065.jpg,0.3478803376960235,3.8067265091137856
