image_name,c1,c2,c3,c4,c5,c_total,MOS,SD,MOS_zscore
5064515429.jpg,1,20,104,27,0,152,3.03289473684211,0.58022333172159,57.5178571428571
9808126155.jpg,8,71,21,0,0,100,2.13,0.525222415609412,29.0802752293578
6346260646.jpg,0,10,76,19,1,106,3.10377358490566,0.550830460184462,57.3987068965517
5040853192.jpg,25,67,12,1,0,105,1.8952380952381,0.618991262579839,23.789603960396
8213284057.jpg,1,23,54,29,0,107,3.03738317757009,0.725872716697915,58.1029411764706
6947720174.jpg,1,11,77,16,1,106,3.04716981132075,0.575401730829747,55.5338983050847
2409675838.jpg,0,72,39,2,0,113,2.38053097345133,0.523016389916574,37.1890756302521
8929337311.jpg,0,8,61,31,1,101,3.24752475247525,0.606727955414276,59.6582568807339
7275267386.jpg,1,30,70,6,0,107,2.75700934579439,0.563699396261691,46.6176470588235
2375572237.jpg,0,4,74,52,0,130,3.36923076923077,0.544720418131757,67.1299212598425
10678350303.jpg,0,4,53,52,5,114,3.50877192982456,0.641425597463337,66.7866379310345
9398081258.jpg,0,3,48,44,1,96,3.44791666666667,0.578014599463528,68.2452830188679
105620456.jpg,1,18,61,27,1,108,3.08333333333333,0.698797364769892,55.8625
6810820079.jpg,0,0,26,81,3,110,3.79090909090909,0.47109971957979,74.6906779661017
4210983675.jpg,0,10,66,35,0,111,3.22522522522523,0.598250246889508,60.5833333333333
10680932454.jpg,0,27,63,18,0,108,2.91666666666667,0.643079623273167,51.39375
9642841042.jpg,0,5,32,68,0,105,3.6,0.58177447388274,74.1705607476636
6840130023.jpg,0,1,43,58,4,106,3.61320754716981,0.578516241974426,71.304347826087
5118419705.jpg,0,19,61,22,1,103,3.04854368932039,0.662417449932058,56.222972972973
9060994605.jpg,0,2,51,57,4,114,3.55263157894737,0.596332526811818,69.1491596638655
6775674634.jpg,0,23,64,15,0,102,2.92156862745098,0.608296998034594,52.4457547169811
2233947320.jpg,0,31,67,4,0,102,2.73529411764706,0.525139690764791,45.9330357142857
92466227.jpg,2,36,47,18,1,104,2.80769230769231,0.776811044947164,48.2121848739496
9334502001.jpg,0,18,70,18,1,107,3.01869158878505,0.614007995941036,53.0328947368421
7102805935.jpg,0,0,35,73,2,110,3.7,0.498621954200784,73.5168067226891
3501996576.jpg,0,0,46,58,0,104,3.55769230769231,0.499065594399243,69.75
3585032307.jpg,2,24,62,6,1,95,2.78947368421053,0.634047062521073,48.4571428571429
7391300046.jpg,0,3,62,39,0,104,3.34615384615385,0.535519542113137,65.2205882352941
6032331327.jpg,0,14,63,29,0,106,3.14150943396226,0.623945651559997,58.3195652173913
5032381168.jpg,4,55,39,5,0,103,2.43689320388349,0.651843583315984,38.125
11370407443.jpg,0,38,61,7,0,106,2.70754716981132,0.585002745326492,47.3434782608696
7109803877.jpg,0,5,38,63,3,109,3.58715596330275,0.626734765423908,68.7875
4042987026.jpg,16,73,17,1,0,107,2.02803738317757,0.590138198161191,26.85
6907897085.jpg,0,2,36,55,4,97,3.62886597938144,0.600686892039473,73.4254807692308
8948115296.jpg,0,18,74,13,0,105,2.95238095238095,0.543863535997354,53.1314655172414
5507499346.jpg,17,80,15,1,0,113,2.0,0.566946709513841,26.4432773109244
4178432884.jpg,0,33,61,6,3,103,2.79611650485437,0.676774693892692,48.4551282051282
8185021640.jpg,0,0,27,81,4,112,3.79464285714286,0.486546810931692,76.1034482758621
10589450596.jpg,1,6,77,41,1,126,3.27777777777778,0.60184900284226,64.5773809523809
3545446713.jpg,0,3,71,34,1,109,3.30275229357798,0.535837647398623,61.4513274336283
3464988666.jpg,45,54,3,0,0,102,1.58823529411765,0.551378850843804,15.325
3183852879.jpg,0,13,71,20,0,104,3.06730769230769,0.561973344855967,56.1486486486486
6966432732.jpg,0,2,41,60,2,105,3.59047619047619,0.566623570867177,68.8581081081081
6308614891.jpg,0,15,97,11,0,123,2.96747967479675,0.460487257074245,55.5040983606557
8438205347.jpg,0,0,52,50,2,104,3.51923076923077,0.539341008015854,71.2028301886792
10187102065.jpg,2,63,35,7,0,107,2.4392523364486,0.646873031393711,38.7142857142857
2138874780.jpg,0,2,46,45,2,95,3.49473684210526,0.581152270860307,70.4779411764706
2722913532.jpg,1,6,67,25,1,100,3.19,0.59789191955967,60.7935779816514
8458155212.jpg,0,0,49,56,1,106,3.54716981132075,0.51882790011439,67.5593220338983
8613516565.jpg,0,0,28,77,3,108,3.76851851851852,0.485422669308056,75.6118421052632
5013613228.jpg,0,1,49,54,1,105,3.52380952380952,0.538788493096354,67.0
2322053874.jpg,0,0,10,82,18,110,4.07272727272727,0.501540579076493,80.0336134453782
6065704403.jpg,0,3,55,50,2,110,3.46363636363636,0.585407765473404,67.7432432432432
1329713028.jpg,0,15,65,19,1,100,3.06,0.616605238545717,52.7632743362832
3970268650.jpg,0,0,34,65,1,100,3.67,0.493493012650993,69.9518348623853
3704662776.jpg,5,72,24,1,0,102,2.20588235294118,0.532846555181383,31.4266055045872
9630325643.jpg,12,61,30,1,0,104,2.19230769230769,0.639734821836635,32.2591743119266
5310307882.jpg,0,14,73,13,1,101,3.00990099009901,0.556687515666563,53.0733944954128
3589240869.jpg,2,7,32,54,5,100,3.53,0.784380344764277,68.8922018348624
3993808694.jpg,8,46,41,12,0,107,2.53271028037383,0.792866271640204,40.875
9463363154.jpg,0,4,67,34,0,105,3.28571428571429,0.531946456861058,63.9264705882353
4336745838.jpg,0,10,67,27,1,105,3.18095238095238,0.600976007151834,61.9538834951456
3860253466.jpg,0,5,80,29,0,114,3.21052631578947,0.506133778714895,62.0789473684211
4925344781.jpg,0,1,33,68,3,105,3.6952380952381,0.539298146522395,72.8407079646018
6048178491.jpg,6,57,34,2,0,99,2.32323232323232,0.619879560854329,32.3938053097345
5250131819.jpg,2,59,44,0,0,105,2.4,0.529876618439831,38.0441176470588
7348582056.jpg,0,0,50,58,3,111,3.57657657657658,0.548544347250886,70.2860169491525
6883445766.jpg,1,9,65,27,1,103,3.1747572815534,0.632876787965461,55.8772321428571
3620678223.jpg,0,10,66,27,0,103,3.16504854368932,0.578996552169639,59.204128440367
9724107986.jpg,0,0,30,79,6,115,3.79130434782609,0.521395768021524,78.0
5290554591.jpg,0,5,52,44,2,103,3.41747572815534,0.61873165403042,67.3716216216216
205662428.jpg,3,56,39,1,0,99,2.38383838383838,0.566173527648199,36.6344537815126
4989044190.jpg,0,2,55,51,2,110,3.48181818181818,0.570398511614213,67.9705882352941
7769932398.jpg,0,2,46,56,4,108,3.57407407407407,0.599122468932278,69.5553097345133
8663368144.jpg,0,0,39,68,1,108,3.64814814814815,0.498873774884556,70.2853982300885
447697089.jpg,0,4,54,46,3,107,3.44859813084112,0.617872870538444,67.8481308411215
