image_name,Noise_Score,Noise_Score_to_MOS_scale
10004473376.jpg,3.270704621025855,4.936210195286403
10007357496.jpg,3.226147236083152,4.874336332934419
10007903636.jpg,3.23256377813634,4.883246556016076
10009096245.jpg,3.0494122870614966,4.62891632180467
100117038.jpg,3.1995419222905,4.837391311911424
10012398043.jpg,3.2045696805995494,4.8443730238308556
10013822223.jpg,3.2031835856306685,4.84244824639112
10014002683.jpg,3.201249341388058,4.839762290692053
10017119924.jpg,3.2425786053331898,4.897153477175241
10020766793.jpg,3.23665865237216,4.888932834174939
10020891105.jpg,3.143264607753101,4.759242766665693
10022757465.jpg,3.303240533687646,4.981390642570743
10022844623.jpg,3.3025428181362173,4.980421771618252
10027545463.jpg,3.20204300021792,4.840864391662666
10027582235.jpg,3.099337613746071,4.69824428607213
10029841663.jpg,3.2694294912890527,4.934439507847783
10031298826.jpg,3.262126156477585,4.9242978549339895
10031913154.jpg,3.2436944032871957,4.89870291121648
10039534103.jpg,3.1178413337945408,4.723939165355349
10041870415.jpg,3.247982505778211,4.90465751253838
10043785683.jpg,3.258928549546677,4.919857551910075
10047832035.jpg,3.2664699636751635,4.930329809658714
10048365153.jpg,3.285650967774494,4.956965188035181
10050349236.jpg,3.3079843163445872,4.987978016482401
10058760545.jpg,3.049026952017213,4.628381232783624
10059344614.jpg,3.300698659019398,4.977860911112279
10061596254.jpg,3.2798486542304275,4.948907903030456
10067457634.jpg,3.2669409533300424,4.930983841512528
10068507976.jpg,3.125753153583388,4.734925780687426
10068778516.jpg,3.2723255624120657,4.938461088249265
10069534975.jpg,3.226445120084996,4.874749984537868
10071864114.jpg,3.115928630543374,4.7212831221913465
10075168775.jpg,3.3090598600288814,4.989471552109799
10077468576.jpg,3.2943906828687552,4.969101446243181
10077880165.jpg,3.1601048695117253,4.782627712603709
10079711433.jpg,3.222243845758456,4.868915955684568
10082923485.jpg,3.1469156749461025,4.764312759647285
10086300493.jpg,3.2923159760842573,4.966220439600402
100882570.jpg,3.309598899002824,4.990220079504729
10089027076.jpg,2.8880810846000866,4.404886463970476
10089177336.jpg,3.2476024819261635,4.904129798815004
10091520555.jpg,2.926796003120822,4.458647283699923
10093057603.jpg,3.2113919139718003,4.853846603331775
10094235786.jpg,3.245695064348274,4.901481095512199
10110458216.jpg,3.2810406166937014,4.950563101635046
10111411235.jpg,3.194899621907087,4.830944859650161
10113730664.jpg,3.229007151100598,4.878307705768696
10115071674.jpg,3.2492885359325303,4.906471109321491
10118773964.jpg,3.264736344770025,4.927922448956436
10121813934.jpg,3.231139952575397,4.881269384624973
10125013364.jpg,3.120041913078237,4.726994962724722
10126177964.jpg,3.099889118463384,4.699010123811696
10126857344.jpg,3.246658088204222,4.90281838237455
10130566006.jpg,3.294951399016988,4.969880075281194
10131980434.jpg,2.913464401045744,4.440134578953323
10133867305.jpg,3.2232246399137328,4.870277918973869
10134737015.jpg,3.2713074585248894,4.937047315428975
10140071304.jpg,3.31369967000383,4.995914546107281
1014369849.jpg,3.197897659362741,4.835108033882576
10147970884.jpg,3.2565268988079694,4.916522540050304
101484668.jpg,3.250065824461186,4.907550477948973
10153847086.jpg,3.307323541628783,4.987060442799298
10154367094.jpg,3.218254312757157,4.863375957857306
