image_name,Noise_Score
10004473376.jpg,3.270704621025855
10007357496.jpg,3.2261472360831522
10007903636.jpg,3.23256377813634
10009096245.jpg,3.0494122870614966
100117038.jpg,3.1995419222905
10012398043.jpg,3.2045696805995494
10013822223.jpg,3.2031835856306685
10014002683.jpg,3.201249341388058
10017119924.jpg,3.2425786053331898
10020766793.jpg,3.23665865237216
10020891105.jpg,3.1432646077531015
10022757465.jpg,3.303240533687646
10022844623.jpg,3.3025428181362173
10027545463.jpg,3.2020430002179197
10027582235.jpg,3.099337613746071
10029841663.jpg,3.2694294912890527
10031298826.jpg,3.262126156477585
10031913154.jpg,3.2436944032871953
10039534103.jpg,3.1178413337945408
10041870415.jpg,3.247982505778211
10043785683.jpg,3.2589285495466775
10047832035.jpg,3.2664699636751635
10048365153.jpg,3.285650967774494
10050349236.jpg,3.3079843163445872
10058760545.jpg,3.049026952017213
10059344614.jpg,3.300698659019398
10061596254.jpg,3.2798486542304275
10067457634.jpg,3.2669409533300424
10068507976.jpg,3.1257531535833873
10068778516.jpg,3.2723255624120657
10069534975.jpg,3.226445120084996
10071864114.jpg,3.115928630543374
10075168775.jpg,3.3090598600288814
10077468576.jpg,3.2943906828687552
10077880165.jpg,3.1601048695117253
10079711433.jpg,3.222243845758456
10082923485.jpg,3.1469156749461025
10086300493.jpg,3.2923159760842573
100882570.jpg,3.3095988990028236
10089027076.jpg,2.8880810846000866
10089177336.jpg,3.2476024819261635
10091520555.jpg,2.926796003120822
10093057603.jpg,3.2113919139718003
10094235786.jpg,3.245695064348274
10110458216.jpg,3.2810406166937014
10111411235.jpg,3.194899621907087
10113730664.jpg,3.229007151100598
10115071674.jpg,3.2492885359325303
10118773964.jpg,3.264736344770025
10121813934.jpg,3.231139952575397
10125013364.jpg,3.1200419130782375
10126177964.jpg,3.099889118463384
10126857344.jpg,3.2466580882042226
10130566006.jpg,3.2949513990169876
10131980434.jpg,2.9134644010457436
10133867305.jpg,3.2232246399137328
10134737015.jpg,3.2713074585248894
10140071304.jpg,3.31369967000383
1014369849.jpg,3.1978976593627415
10147970884.jpg,3.2565268988079694
101484668.jpg,3.2500658244611866
10153847086.jpg,3.307323541628783
10154367094.jpg,3.218254312757157
10154991453.jpg,3.255667393713477
10155925686.jpg,3.1919196473878717
101601008.jpg,3.305771644803789
10164654253.jpg,3.201715419815697
10164842933.jpg,3.2734066078770425
10169304416.jpg,3.2573216943210426
10173544123.jpg,3.263640010623469
1017647143.jpg,3.248791071897429
10177270623.jpg,3.1602429775881316
10177793964.jpg,3.2604020616022797
10178112894.jpg,3.084477250361262
10178183416.jpg,3.1955845697962157
10178914656.jpg,3.278852807368226
10183769356.jpg,3.1713983061945186
10186643874.jpg,3.2149658763018305
10186680555.jpg,3.283354160470031
10186832194.jpg,3.275454590832652
10187102065.jpg,3.2837965555813327
10187522803.jpg,3.1862732256172155
10191607755.jpg,3.2341032049240717
10196228605.jpg,3.302241600106587
10203647273.jpg,3.210721778917536
10205220286.jpg,3.280415741307257
10206674394.jpg,3.222253873498026
10207172624.jpg,3.279177552485196
10209014225.jpg,3.291695086722001
10209917915.jpg,2.8206297026217637
10211880874.jpg,3.13816607204123
10213881683.jpg,2.9915346447708018
10218118033.jpg,3.273343898790282
10221144393.jpg,3.0145496576908037
10224586444.jpg,2.815247564397259
10226277514.jpg,3.035886753502478
10226524916.jpg,3.204142940899631
10227210045.jpg,3.2730829450494543
10241630856.jpg,3.1488858807090327
10241895785.jpg,3.0676175085453554
10244314384.jpg,3.293594482066924
10244715656.jpg,2.8908676881232083
10246311914.jpg,3.151978938258747
10246318724.jpg,3.161898928736134
10258169584.jpg,3.258830328818533
10260190424.jpg,3.139568287433187
1026198859.jpg,3.294907227891187
10262588616.jpg,3.307359680248206
10264804094.jpg,3.210400010427165
10264984793.jpg,3.2988617466292833
10265315316.jpg,3.2184718602546436
10265809113.jpg,3.2521219651461646
10273804555.jpg,3.277452082266482
10278246465.jpg,3.255009459873003
1027833701.jpg,3.304913706223706
10279904885.jpg,2.7695912796749536
