image_name,Sharpness_Score
10004473376.jpg,5907.0508735403155
10007357496.jpg,1700.4516390378897
10007903636.jpg,3334.7017199619568
10009096245.jpg,553.8977450380722
100117038.jpg,3792.0480503265794
10012398043.jpg,358.6159191115035
10013822223.jpg,235.0991617837507
10014002683.jpg,48.969188858832545
10017119924.jpg,2874.8075106043575
10020766793.jpg,2891.4495412152414
10020891105.jpg,875.5936077826706
10022757465.jpg,927.0301157351738
10022844623.jpg,2962.4523737585528
10027545463.jpg,894.1131561832864
10027582235.jpg,313.9190266724262
10029841663.jpg,1664.0461832775163
10031298826.jpg,997.9424437880516
10031913154.jpg,3204.070744911726
10039534103.jpg,51.789843362135194
10041870415.jpg,1788.7609824735875
10043785683.jpg,4057.039555131975
10047832035.jpg,387.83607379820506
10048365153.jpg,3007.1825917168367
10050349236.jpg,68.8558162767181
10058760545.jpg,53.976358974042036
10059344614.jpg,1505.9004669187125
10061596254.jpg,158.5746942754421
10067457634.jpg,2081.616663982058
10068507976.jpg,1035.8573896356909
10068778516.jpg,4836.05172641076
10069534975.jpg,2620.8217100591087
10071864114.jpg,210.19374453855883
10075168775.jpg,432.67006910217196
10077468576.jpg,1237.4671656224461
10077880165.jpg,217.87834622462591
10079711433.jpg,212.58507893720852
10082923485.jpg,307.00024916477395
10086300493.jpg,10931.99781687369
100882570.jpg,1074.3028250818606
10089027076.jpg,32.818843841552734
10089177336.jpg,4309.332588339846
10091520555.jpg,100.45047405297454
10093057603.jpg,161.85798787905114
10094235786.jpg,4324.577764231298
10110458216.jpg,480.3781760132147
10111411235.jpg,565.2006408696117
10113730664.jpg,531.237170160412
10115071674.jpg,2032.208777623846
10118773964.jpg,212.51807117376788
10121813934.jpg,2115.558068321371
10125013364.jpg,785.0488541341232
10126177964.jpg,233.7078539724979
10126857344.jpg,2928.460457202642
10130566006.jpg,4119.776800326977
10131980434.jpg,19.45927080757812
10133867305.jpg,1038.3531941662852
10134737015.jpg,1224.6414031889026
10140071304.jpg,656.3363488496333
1014369849.jpg,66.11573141223441
10147970884.jpg,3660.1246018856505
101484668.jpg,46.92380066648021
10153847086.jpg,1649.6542226414506
10154367094.jpg,292.63716598093094
10154991453.jpg,1687.978912484289
10155925686.jpg,465.7643745674027
101601008.jpg,6149.942861318588
10164654253.jpg,348.1146075667348
10164842933.jpg,5568.184378919476
10169304416.jpg,3839.6089304523903
10173544123.jpg,517.1310516539703
1017647143.jpg,4737.553024161581
10177270623.jpg,486.943653440698
10177793964.jpg,1734.0279635128616
10178112894.jpg,231.20738686455618
10178183416.jpg,1185.2578632132047
10178914656.jpg,2310.4078775675093
10183769356.jpg,2150.774060764246
10186643874.jpg,377.45384215167724
10186680555.jpg,1507.609030196961
10186832194.jpg,855.6300285240999
10187102065.jpg,46.98121315486625
10187522803.jpg,168.78925457100073
10191607755.jpg,10514.322071737299
10196228605.jpg,3847.9345627561365
10203647273.jpg,906.4478248949678
10205220286.jpg,82.1450775405392
10206674394.jpg,1401.721920393304
10207172624.jpg,5998.225459922932
10209014225.jpg,11654.79715369766
10209917915.jpg,46.98734955921666
10211880874.jpg,28.37519811070524
10213881683.jpg,145.65931677062892
10218118033.jpg,2969.0830147063566
10221144393.jpg,63.93574433763408
10224586444.jpg,194.59294785742853
10226277514.jpg,63.50554374688201
10226524916.jpg,22.096332671094885
10227210045.jpg,3152.5525704280517
10241630856.jpg,6485.3269634640055
10241895785.jpg,1401.8593141628792
10244314384.jpg,334.73728433986093
10244715656.jpg,836.7892169703781
10246311914.jpg,633.8897594362239
10246318724.jpg,732.4196522842007
10258169584.jpg,528.571145484612
10260190424.jpg,3027.421268277465
1026198859.jpg,7026.874863929402
10262588616.jpg,429.51066854834147
10264804094.jpg,1897.52072534586
10264984793.jpg,5421.484871483098
10265315316.jpg,2012.458074940964
10265809113.jpg,4388.043036589993
10273804555.jpg,4797.082299743441
10278246465.jpg,3233.4830702675713
1027833701.jpg,3611.9034063325307
10279904885.jpg,72.46874552302891
10280683815.jpg,214.4571629711944
10280835505.jpg,81.2014516188194
102825508.jpg,1081.0059438763546
10283619534.jpg,2267.558898895565
10287677265.jpg,352.45056766620837
10289468185.jpg,328.1088473290826
10290759976.jpg,1249.64271321083
1029470257.jpg,3777.1154250200416
10295875445.jpg,236.22047182542474
10296038236.jpg,1603.4342989465222
10299438733.jpg,119.88834926048814
102995966.jpg,31.05646643536684
10316734944.jpg,1158.7511296116797
10319186405.jpg,217.4514102753407
10319713194.jpg,15.09567292489939
10325321.jpg,1798.8964402873273
10327985614.jpg,3050.155944811698
10329149264.jpg,2268.141835418815
10329235193.jpg,1423.3655087745026
10330831494.jpg,225.15557810164879
10335072144.jpg,3367.2001520556446
10336689775.jpg,1773.76250885427
103400056.jpg,6828.122671611504
10342569703.jpg,290.571094935113
10344523015.jpg,154.61964316104746
10344921126.jpg,18.23408640214863
1034624333.jpg,295.26898408181853
10346758803.jpg,21550.61008622743
10346796664.jpg,2395.452797366694
10349956885.jpg,2937.7745352970796
10350497833.jpg,414.7020870542362
10351189716.jpg,508.8407003748903
