image_name,brisque_score,ground_truth,transformed_mos
10004473376.jpg,9.7100370182404,3.82857142857143,4.611598519270384
10007357496.jpg,20.4422438857234,3.47916666666667,4.182310244571064
10007903636.jpg,-4.495060810479941,3.78125,5.179802432419198
10009096245.jpg,27.264524468684243,3.92660550458716,3.90941902125263
100117038.jpg,2.331687639388946,3.83,4.906732494424443
10012398043.jpg,15.177334489133358,3.33980582524272,4.392906620434665
10013822223.jpg,54.144796924828796,3.58181818181818,2.834208123006848
10014002683.jpg,41.098917800532234,3.4811320754717,3.3560432879787108
10017119924.jpg,10.85365076914772,3.42342342342342,4.565853969234091
10020766793.jpg,14.91652947880172,4.08256880733945,4.403338820847932
10020891105.jpg,3.4549900584728164,3.13725490196078,4.861800397661087
10022757465.jpg,42.38589292849085,3.67619047619048,3.3045642828603663
10022844623.jpg,8.080243711188444,3.2843137254902,4.676790251552463
10027545463.jpg,25.858098474238517,3.74509803921569,3.965676061030459
10027582235.jpg,10.000785307154246,3.82242990654206,4.59996858771383
10029841663.jpg,20.988029988815555,3.46268656716418,4.160478800447377
10031298826.jpg,7.507627778279215,2.87704918032787,4.699694888868832
10031913154.jpg,17.12031149522349,3.48507462686567,4.31518754019106
10039534103.jpg,53.38722404724169,3.69158878504673,2.8645110381103325
10041870415.jpg,6.838806427771345,3.45192307692308,4.726447742889146
10043785683.jpg,9.130494284432729,3.56603773584906,4.634780228622691
10047832035.jpg,18.850567886478956,3.65346534653465,4.245977284540842
10048365153.jpg,21.50794346370273,3.07920792079208,4.139682261451891
10050349236.jpg,36.61540594925586,2.20588235294118,3.5353837620297655
10058760545.jpg,23.21964985232941,1.62,4.071214005906823
10059344614.jpg,18.198434315966523,3.5,4.272062627361339
10061596254.jpg,19.915266743063825,3.1588785046729,4.203389330277448
10067457634.jpg,17.20171180181805,3.92660550458716,4.311931527927278
10068507976.jpg,5.688039505254068,3.1,4.772478419789837
10068778516.jpg,28.482597326641525,3.68421052631579,3.860696106934339
10069534975.jpg,5.760965358689731,3.67592592592593,4.769561385652411
10071864114.jpg,27.85838760937483,3.74107142857143,3.8856644956250066
10075168775.jpg,48.82394140507367,3.72277227722772,3.0470423437970533
10077468576.jpg,9.203769307126066,3.66037735849057,4.631849227714957
10077880165.jpg,37.61084257123079,2.19444444444444,3.495566297150768
10079711433.jpg,29.57659176471131,3.12878787878788,3.8169363294115475
10082923485.jpg,18.579882767907606,2.95192307692308,4.256804689283696
10086300493.jpg,3.488033463019036,3.51456310679612,4.860478661479238
100882570.jpg,13.40987947541484,3.41414141414141,4.463604820983406
10089027076.jpg,31.991521170063464,1.87037037037037,3.7203391531974614
10089177336.jpg,4.418996082531265,3.73267326732673,4.823240156698749
10091520555.jpg,27.169225313883516,2.30188679245283,3.9132309874446594
10093057603.jpg,36.82767760986221,3.38235294117647,3.5268928956055117
10094235786.jpg,22.04832691078647,3.27,4.118066923568541
