image_name,Overall_Contrast_Score,Contrast_Score_to_MOS_scale
10004473376.jpg,2.802315122772346,2.14820066468943
10007357496.jpg,0.5201386057471242,1.2128388242075916
10007903636.jpg,1.469660641637948,1.602005338034746
10009096245.jpg,1.4342553683639978,1.5874943037982483
100117038.jpg,0.5218528497215896,1.213541415960258
10012398043.jpg,0.444049712473363,1.1816533980489081
10013822223.jpg,0.2155071574773567,1.0879840507066914
10014002683.jpg,0.3174519360880948,1.1297666451017767
10017119924.jpg,0.8821149838716689,1.3611967135854282
10020766793.jpg,1.985854970874719,1.8135702517209813
10020891105.jpg,1.892568676326036,1.7753363817683958
10022757465.jpg,1.2344808839368366,1.5056156988607694
10022844623.jpg,1.3870023695945433,1.5681274180347862
10027545463.jpg,1.701183350998209,1.6968961170454926
10027582235.jpg,0.5644712911799086,1.231008804456956
10029841663.jpg,2.1045659363267637,1.862224554445705
10031298826.jpg,0.3710462230156796,1.1517325405905452
10031913154.jpg,1.075163066654476,1.4403184680448888
10039534103.jpg,0.1759343410094172,1.0717649273530123
10041870415.jpg,1.7829682456403646,1.7304160788036715
10043785683.jpg,2.015784376184002,1.8258369731712174
10047832035.jpg,0.9492859993586248,1.3887271014428975
10048365153.jpg,2.4955155566002785,2.0224572768607825
10050349236.jpg,1.070684605959122,1.4384829477828573
10058760545.jpg,0.7921348729814719,1.3243179000926308
10059344614.jpg,1.2489634797339118,1.5115514655986395
10061596254.jpg,0.5436410502598308,1.222471422558872
10067457634.jpg,2.5208510179319124,2.032841146628886
10068507976.jpg,3.2956306883585342,2.350388598849098
10068778516.jpg,0.9414503692543896,1.3855156279477687
10069534975.jpg,1.7029809716910498,1.697632881177101
10071864114.jpg,0.3019067861233239,1.123395385046675
10075168775.jpg,1.017011297814314,1.4164846650398046
10077468576.jpg,2.4496112359367475,2.00364315378941
10077880165.jpg,0.3019255614317843,1.123403080203884
10079711433.jpg,1.2204308078936272,1.499857202579414
10082923485.jpg,3.409377404856313,2.3970082784831748
10086300493.jpg,1.739882233851798,1.7127570541905768
100882570.jpg,1.0415031941656765,1.4265227953409445
10089027076.jpg,0.7229973731865212,1.2959815384781437
10089177336.jpg,0.6738200751165377,1.2758259687009987
10091520555.jpg,0.699025194336428,1.2861564170809563
10093057603.jpg,1.255004746676735,1.5140275100782516
10094235786.jpg,2.0844732823561496,1.853989476370931
10110458216.jpg,0.0021452036693241,1.0005365512193076
10111411235.jpg,0.6383476255602891,1.2612874019180134
10113730664.jpg,1.0909325163565944,1.4467816585065916
10115071674.jpg,1.6253056716145908,1.6657972579913016
10118773964.jpg,0.5370726875356839,1.2197793451490935
10121813934.jpg,2.2655650284330737,1.9282108644375184
10125013364.jpg,4.181078511180081,2.7132939652948806
10126177964.jpg,0.6397259485645462,1.2618523147248988
10126857344.jpg,1.3293562103978027,1.544500841755202
10130566006.jpg,2.255866935796198,1.9242360510476164
10131980434.jpg,0.1537647450737252,1.0626786038795863
10133867305.jpg,2.4495797280191187,2.0036302401065273
10134737015.jpg,0.7970738784668517,1.3263421770170893
10140071304.jpg,0.9709076749062668,1.3975888569134627
1014369849.jpg,0.2801458454202208,1.1144765510323795
10147970884.jpg,2.6623807053949378,2.090847820503872
101484668.jpg,0.6108118145124405,1.250001707446646
10153847086.jpg,1.1187914226202995,1.4581997752220315
10154367094.jpg,0.5097468543024082,1.2085797111702579
10154991453.jpg,1.910624786876803,1.7827367719970724
10155925686.jpg,0.734906093583402,1.300862389080677
101601008.jpg,0.004053070796065,1.0013185004216372
10164654253.jpg,1.0082420378659294,1.4128905385277692
10164842933.jpg,2.6774407342347994,2.0970202511586775
10169304416.jpg,2.297111660840945,1.94114041477243
10173544123.jpg,0.5560604184930208,1.2275615648162992
1017647143.jpg,1.2984303814152791,1.5318257309126693
10177270623.jpg,1.5392030822202525,1.630507666723787
10177793964.jpg,3.494438188776175,2.431870880392609
10178112894.jpg,1.1260339963045412,1.4611681814783308
10178183416.jpg,2.108550636764024,1.863857704514054
10178914656.jpg,0.8067514740466998,1.3303085895822333
10183769356.jpg,1.243056466882296,1.5091304458521742
10186643874.jpg,0.335861139865346,1.1373117524142207
10186680555.jpg,2.819725862407874,2.155336546313024
10186832194.jpg,2.010547744419046,1.8236907125778519
10187102065.jpg,1.059189402690483,1.4337715793125156
10187522803.jpg,0.4275840860094132,1.1749048759433167
10191607755.jpg,3.862624955843781,2.5827741297759292
10196228605.jpg,0.0027038506571443,1.0007655155745225
10203647273.jpg,0.7601727497563397,1.3112180586988829
10205220286.jpg,0.5965728525162768,1.2441657952812526
10206674394.jpg,0.7691048206062323,1.3148789141003572
10207172624.jpg,1.9115245115948187,1.783105528822801
10209014225.jpg,0.002547675491056,1.0007015063755407
10209917915.jpg,0.6939816854962028,1.2840893089164096
10211880874.jpg,1.4096177294557275,1.5773964401569178
10213881683.jpg,1.4297873847628664,1.5856630776274327
10218118033.jpg,2.8551388444183345,2.1698507400150215
10221144393.jpg,1.6607561476332589,1.6803268188063436
10224586444.jpg,1.291326684748722,1.528914244119826
10226277514.jpg,0.4735036223716211,1.1937252352474312
10226524916.jpg,0.541386802003525,1.2215475072603876
10227210045.jpg,2.8183343261183715,2.154766217972891
10241630856.jpg,3.331178648018486,2.364958113838345
10241895785.jpg,1.4928454007443177,1.6115077313803448
