image_name,Chromatic_Score
10004473376.jpg,3.482751177563833
10007357496.jpg,3.4142116392586157
10007903636.jpg,3.619609113759238
10009096245.jpg,2.943538481397667
100117038.jpg,3.467821662678101
10012398043.jpg,3.2198022943395044
10013822223.jpg,3.315622054383809
10014002683.jpg,3.2749310772510367
10017119924.jpg,3.4633235030550265
10020766793.jpg,3.3446822539258205
10020891105.jpg,3.412612653300129
10022757465.jpg,3.5047381935860686
10022844623.jpg,3.4927880205062682
10027545463.jpg,3.5487899449988913
10027582235.jpg,3.3998303494289233
10029841663.jpg,3.455905877147221
10031298826.jpg,2.943656427399792
10031913154.jpg,3.3777962812049616
10039534103.jpg,3.3950067943367603
10041870415.jpg,3.384742311956766
10043785683.jpg,3.517927753923495
10047832035.jpg,3.420963038924493
10048365153.jpg,3.552966985174539
10050349236.jpg,3.231791408309328
10058760545.jpg,2.2162958416748335
10059344614.jpg,3.3903791860798833
10061596254.jpg,3.3683040357009046
10067457634.jpg,3.4615261222599463
10068507976.jpg,2.9047412663879872
10068778516.jpg,3.4496578660635375
10069534975.jpg,3.5133393723515414
10071864114.jpg,3.368159475579291
10075168775.jpg,3.277142345565143
10077468576.jpg,3.3736153356617566
10077880165.jpg,3.3105187944287007
10079711433.jpg,2.9257770045132485
10082923485.jpg,3.0279644591144166
10086300493.jpg,3.428316371774249
100882570.jpg,3.420110320372309
10089027076.jpg,2.5115265315676774
10089177336.jpg,3.500139562291835
10091520555.jpg,2.719272903281023
10093057603.jpg,3.5784516001709377
10094235786.jpg,3.586717297956563
10111411235.jpg,3.3947878750123532
10113730664.jpg,3.586292408846906
10115071674.jpg,3.348447367988736
10118773964.jpg,3.3079086763153356
10121813934.jpg,3.4446538472888246
10125013364.jpg,3.1820528337162637
10126177964.jpg,2.8686781674979174
10126857344.jpg,3.5441085036449755
10130566006.jpg,3.5351249655075194
10131980434.jpg,3.2295395306805226
10133867305.jpg,3.087725981668755
10134737015.jpg,3.529609687980458
10140071304.jpg,3.3783203547454774
1014369849.jpg,3.3493168174588783
10147970884.jpg,3.5809206520503944
101484668.jpg,3.2959800341036276
10153847086.jpg,3.4212774228010447
10154367094.jpg,3.417634501147126
10154991453.jpg,3.3579030785276056
10155925686.jpg,3.346350780440665
10164654253.jpg,3.2824510811202225
10164842933.jpg,3.4530837424891585
10169304416.jpg,3.5992649123744904
10173544123.jpg,3.5310793977118307
1017647143.jpg,3.459777807463748
10177270623.jpg,3.143550554274338
10177793964.jpg,3.2617610437665707
10178112894.jpg,2.7763884334608795
10178183416.jpg,3.4903397504159512
10178914656.jpg,3.601146955941941
10183769356.jpg,3.5230032734073564
10186643874.jpg,3.4783775137032875
10186680555.jpg,3.4187811661864544
10186832194.jpg,3.5739447021790793
10187102065.jpg,3.2177143579077563
10187522803.jpg,3.4962278645445473
10191607755.jpg,3.4663934206787155
10203647273.jpg,3.3987625888284647
10205220286.jpg,3.409832240530098
10206674394.jpg,3.4541144795074965
10207172624.jpg,3.5313925574238114
10209917915.jpg,2.3940850631099813
10211880874.jpg,2.415766574096156
10213881683.jpg,2.738175623772984
10218118033.jpg,3.246508730139193
10221144393.jpg,2.666601081860711
10224586444.jpg,2.5573286789745744
10226277514.jpg,2.7077945298347257
10226524916.jpg,3.209450587621143
10227210045.jpg,3.41345401745978
10241630856.jpg,3.26484474381391
10241895785.jpg,2.9945781132824867
10244314384.jpg,3.010957956291778
10244715656.jpg,2.8369823846955358
10246311914.jpg,3.571329708071838
10246318724.jpg,3.521854558709325
10258169584.jpg,3.295304575024351
10260190424.jpg,3.0890771772815127
1026198859.jpg,3.4403707531181382
10262588616.jpg,3.3064881907379275
10264804094.jpg,3.1294860978424777
10265315316.jpg,3.2561979623428687
10265809113.jpg,3.5674227406109775
10273804555.jpg,3.42813163191145
10278246465.jpg,3.4455718869301544
1027833701.jpg,3.281911476555352
10279904885.jpg,2.745730166220077
10280683815.jpg,3.3042895740862024
10280835505.jpg,3.3828888743264907
102825508.jpg,2.7957484362640557
10283619534.jpg,3.3967117103222817
10287677265.jpg,2.8190500493044137
10289468185.jpg,3.177457389521901
10290759976.jpg,3.3864448742791358
1029470257.jpg,3.16994697011413
10295875445.jpg,3.1835482345627586
10296038236.jpg,2.905898553664857
10299438733.jpg,3.1598519742088973
102995966.jpg,2.8515892772040856
10316734944.jpg,3.481132941755418
10319186405.jpg,2.82486180780021
10319713194.jpg,3.3273473459088834
10325321.jpg,3.5843909175727493
10327985614.jpg,3.5105464739523176
10329149264.jpg,3.4150733771432518
10329235193.jpg,3.1234752757554713
10330831494.jpg,3.2197243715403037
10335072144.jpg,3.5669229359533055
10336689775.jpg,3.3664526609995113
103400056.jpg,3.3685528605859707
10342569703.jpg,2.743445252226453
10344523015.jpg,3.476646588470875
10344921126.jpg,3.484872039815163
1034624333.jpg,3.413931717732314
10346758803.jpg,3.535927836478371
10346796664.jpg,3.4972607369196025
10349956885.jpg,3.559113448726756
10350497833.jpg,2.923729592073425
10351189716.jpg,3.481198946867578
10353620913.jpg,2.8644405931654697
10358252894.jpg,3.2976789228201397
10362672006.jpg,3.571241916605516
10366373284.jpg,3.2943372264023063
1036840624.jpg,3.472902876833336
10371125786.jpg,2.436507229441488
10371211803.jpg,3.4724983638926794
10372323314.jpg,3.461574274145881
10373546175.jpg,3.2799587763760707
10375167904.jpg,3.3619782337526645
10382843045.jpg,3.2107379095273347
10387390396.jpg,3.3549675102680503
10387844376.jpg,2.7422313089170918
10388184626.jpg,3.3772055483920798
10395523125.jpg,3.42507402752922
10397166423.jpg,3.252754074332655
10397631976.jpg,3.488015187343988
10399580503.jpg,3.47909367223482
10403509543.jpg,3.386823910127557
10407720764.jpg,3.4519256660323347
10408374535.jpg,3.437552653325644
10408474376.jpg,3.312308759817983
10409059825.jpg,3.5032998164556153
10410038143.jpg,3.431102510122005
10412894895.jpg,3.513763751602945
10414716033.jpg,3.413362453386031
10415628976.jpg,2.853522129932193
10415631353.jpg,2.577042062092807
104219737.jpg,3.0063030743149532
10422425365.jpg,3.37029222696139
10422776735.jpg,3.4945559647040247
10423472445.jpg,3.4802140374477357
10429780626.jpg,3.5289055237163165
10430002553.jpg,3.5185079842580653
10430335945.jpg,3.4814310335207987
10440370734.jpg,2.681085206384235
10442628686.jpg,3.3952307969670024
10446770756.jpg,3.4433247625714514
10446810546.jpg,3.551933100991832
