image_name,Chromatic_Score,Chromatic_Score_to_MOS_scale
10004473376.jpg,3.482751177563833,4.5988393707583
10007357496.jpg,3.414211639258616,4.441989952422523
10007903636.jpg,3.619609113759238,4.912032138286039
10009096245.jpg,2.943538481397667,3.3648771958702297
100117038.jpg,3.467821662678101,4.564673898043347
10012398043.jpg,3.2198022943395044,3.9970935696396044
10013822223.jpg,3.315622054383809,4.216372455953302
10014002683.jpg,3.2749310772510367,4.1232531228996105
10017119924.jpg,3.4633235030550265,4.554380077309993
10020766793.jpg,3.3446822539258205,4.282875317040407
10020891105.jpg,3.412612653300129,4.438330750395235
10022757465.jpg,3.5047381935860686,4.649155593471528
10022844623.jpg,3.492788020506268,4.621808200376586
10027545463.jpg,3.5487899449988918,4.749965895913377
10027582235.jpg,3.3998303494289237,4.409079066232124
10029841663.jpg,3.455905877147221,4.537405199190876
10031298826.jpg,2.943656427399792,3.365147109591357
10031913154.jpg,3.3777962812049616,4.358655166831035
10039534103.jpg,3.3950067943367603,4.398040593706277
10041870415.jpg,3.384742311956766,4.374550822245451
10043785683.jpg,3.517927753923495,4.6793392643596725
10047832035.jpg,3.420963038924493,4.4574402040105845
10048365153.jpg,3.552966985174539,4.75952485032299
10050349236.jpg,3.231791408309328,4.0245300770778965
10058760545.jpg,2.216295841674833,1.7006175896624665
10059344614.jpg,3.3903791860798838,4.387450536035554
10061596254.jpg,3.3683040357009046,4.336932622109744
10067457634.jpg,3.4615261222599463,4.550266858294995
10068507976.jpg,2.9047412663879872,3.2760916458389833
10068778516.jpg,3.449657866063537,4.523106928025593
10069534975.jpg,3.5133393723515414,4.668838975060105
10071864114.jpg,3.368159475579291,4.336601803263421
10075168775.jpg,3.277142345565143,4.128313503483259
10077468576.jpg,3.3736153356617566,4.349087275176659
10077880165.jpg,3.3105187944287007,4.204693892377188
10079711433.jpg,2.9257770045132485,3.3242309150957743
10082923485.jpg,3.0279644591144166,3.558081962414355
10086300493.jpg,3.428316371774249,4.47426795057604
100882570.jpg,3.420110320372309,4.455488798847646
10089027076.jpg,2.5115265315676774,2.3762387439566792
10089177336.jpg,3.500139562291835,4.638631848178276
10091520555.jpg,2.719272903281023,2.851656267481584
10093057603.jpg,3.5784516001709377,4.817845159119003
10094235786.jpg,3.586717297956563,4.8367608087115235
10111411235.jpg,3.394787875012353,4.397539607420917
10113730664.jpg,3.586292408846906,4.835788470534832
10115071674.jpg,3.348447367988736,4.291491598464807
10118773964.jpg,3.307908676315336,4.198720763319244
10121813934.jpg,3.4446538472888246,4.511655473090781
10125013364.jpg,3.182052833716264,3.9107057548446233
10126177964.jpg,2.8686781674979174,3.193562988305518
10126857344.jpg,3.5441085036449755,4.739252643803844
10130566006.jpg,3.5351249655075194,4.718694251286192
10131980434.jpg,3.2295395306805226,4.019376764041724
10133867305.jpg,3.087725981668755,3.694843316273591
10134737015.jpg,3.529609687980458,4.706072805424861
10140071304.jpg,3.378320354745477,4.359854483780458
1014369849.jpg,3.3493168174588783,4.293481291524262
10147970884.jpg,3.5809206520503944,4.8234954649236474
101484668.jpg,3.295980034103628,4.171422642574541
10153847086.jpg,3.4212774228010447,4.458159656306158
10154367094.jpg,3.417634501147126,4.449823006299626
10154991453.jpg,3.3579030785276056,4.3131305346853654
10155925686.jpg,3.346350780440665,4.286693659267426
10164654253.jpg,3.2824510811202225,4.140462288031596
10164842933.jpg,3.4530837424891585,4.530946880525069
10169304416.jpg,3.5992649123744904,4.8654754174121155
10173544123.jpg,3.5310793977118307,4.709436165059144
1017647143.jpg,3.459777807463748,4.546265924445247
10177270623.jpg,3.143550554274338,3.822595150594929
10177793964.jpg,3.2617610437665707,4.093114138270004
10178112894.jpg,2.7763884334608795,2.982362395771453
10178183416.jpg,3.4903397504159512,4.616205452691228
10178914656.jpg,3.601146955941941,4.86978238308677
10183769356.jpg,3.5230032734073564,4.690954345209072
10186643874.jpg,3.4783775137032875,4.588830452555966
10186680555.jpg,3.4187811661864544,4.4524470937809815
10186832194.jpg,3.57394470217908,4.807531341051339
10187102065.jpg,3.2177143579077563,3.992315428103497
10187522803.jpg,3.4962278645445477,4.629680117082056
10191607755.jpg,3.4663934206787155,4.561405435308032
10203647273.jpg,3.3987625888284647,4.406635547742722
10205220286.jpg,3.409832240530098,4.431967910252212
10206674394.jpg,3.4541144795074965,4.533305672337519
10207172624.jpg,3.5313925574238114,4.7101528159133075
10209917915.jpg,2.3940850631099813,2.1074796237236333
10211880874.jpg,2.415766574096156,2.157096712938304
10213881683.jpg,2.738175623772984,2.894914229052974
10218118033.jpg,3.246508730139193,4.058209956247714
10221144393.jpg,2.666601081860711,2.7311193517575245
10224586444.jpg,2.5573286789745744,2.4810547429689533
10226277514.jpg,2.7077945298347257,2.8253885650282173
10226524916.jpg,3.209450587621143,3.9734041894992376
10227210045.jpg,3.41345401745978,4.440256171580044
10241630856.jpg,3.26484474381391,4.100171036677947
10241895785.jpg,2.9945781132824867,3.4816789247869955
10244314384.jpg,3.010957956291778,3.5191634032641894
10244715656.jpg,2.836982384695536,3.12102872240323
10246311914.jpg,3.571329708071838,4.801547053517247
10246318724.jpg,3.521854558709325,4.688325567182909
10258169584.jpg,3.295304575024351,4.169876887141781
10260190424.jpg,3.0890771772815127,3.6979354620796383
1026198859.jpg,3.4403707531181382,4.501853819243072
10262588616.jpg,3.3064881907379275,4.195470050780465
10264804094.jpg,3.1294860978424777,3.7904093223110777
10265315316.jpg,3.2561979623428687,4.080383295503358
10265809113.jpg,3.567422740610977,4.792606147452722
10273804555.jpg,3.42813163191145,4.473845182335403
10278246465.jpg,3.4455718869301544,4.513756362406822
1027833701.jpg,3.281911476555352,4.139227429084133
10279904885.jpg,2.745730166220077,2.912202434049961
10280683815.jpg,3.3042895740862024,4.190438622914249
10280835505.jpg,3.3828888743264907,4.37030931987443
102825508.jpg,2.795748436264056,3.026666825794527
10283619534.jpg,3.3967117103222817,4.401942211476877
10287677265.jpg,2.8190500493044137,3.079991440200155
10289468185.jpg,3.177457389521901,3.900189303075272
10290759976.jpg,3.386444874279136,4.378447053771772
1029470257.jpg,3.16994697011413,3.8830020715196585
10295875445.jpg,3.1835482345627586,3.9141279073532527
10296038236.jpg,2.905898553664857,3.2787400417971835
10299438733.jpg,3.1598519742088973,3.859900161658715
102995966.jpg,2.8515892772040856,3.15445588941239
10316734944.jpg,3.481132941755418,4.595136116380518
10319186405.jpg,2.82486180780021,3.0932913684184387
10319713194.jpg,3.327347345908884,4.243205218487178
10325321.jpg,3.5843909175727493,4.831436999724016
10327985614.jpg,3.5105464739523176,4.662447562158571
10329149264.jpg,3.415073377143252,4.443961997891536
10329235193.jpg,3.123475275755472,3.7766538466924895
10330831494.jpg,3.219724371540304,3.9969152470825535
10335072144.jpg,3.566922935953305,4.791462368667865
